      16      17
       2      16
       2      17
      20      16
      20      23
      19      16
      20      26
       4      29
      20      24
       4      26
      20      17
       4      30
       4      32
      19      33
       4      33
      19      32
      35      30
       4      28
       4      42
      34      36
       4      46
      34      46
       4      37
      34      20
       4      47
      34      38
       4      50
      19      38
       4      53
      19      17
      60      26
       5      43
      65      17
       5       4
       5       3
      60      28
       5      40
      60      41
       5      57
      60      20
       5      56
      60      72
       5      41
      60      71
       5      25
      60      55
      76      50
      75       6
      91      33
      76      57
      91      38
      93      65
      91      65
      93      33
      91      16
      93      32
      91      32
      93      38
      91      17
      93      17
      76      38
      92      24
      76      26
      92      33
      76     100
     100      17
      76      66
      92      32
      76      33
      92      65
      76      32
      92     100
      76      17
      92      17
     118      66
      75       4
     118       7
     119      17
     118      17
      75      56
      75      58
      90      30
     125       6
      75      57
     125      93
      75     124
     125      56
      75      39
     125       4
      75      97
     125     123
      75      50
     125     129
      75      95
     146      93
     125      33
     125      75
     152      36
     155      92
     125     132
