       3       8
       3       6
       9      10
       6      12
       6       9
       8      10
      10      12
       9       1
       8       6
       3       9
       5      11
      34      17
      17      18
      34      14
       6       7
       6       4
       8      34
       4      35
       6      34
       6       5
       8      18
      21      14
       6      11
       4       8
      11       1
       8       1
      22      21
       4      51
      21      51
      22       2
