       8       2
      10       2
       6       4
       9       4
       7       9
      12       4
       3       1
      11       4
       5      11
       1       2
       4       2
       6       1
       9       1
       7       4
      12       1
       3       2
      13       4
      11       1
       5      13
       6       2
       9       2
       7       1
      12       2
      13       1
      11       2
       5       9
       7       2
      13      14
      14       2
       5       3
      27       6
      26      14
      17       4
      25      18
      29       2
      31       6
      28      34
      34       4
      30      29
      18       1
      13      29
       5      12
      24      63
      50      51
      37       4
      52       4
      48       4
      26      18
      35      56
      72      29
